Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
(Inferior AND collicul*),Nucleus accumbens,161,81172,12646,93818,0.001716089
Hypothalam*,(Superior AND collicul*),0,3,172327,172330,0
Inferior frontal,"(""Ventral posterior"" AND (nuclei OR nucleus))",8,5114,1470,6584,0.001215067
Medial frontal,Pontine nuclei,117,5761,7591,13352,0.008762732
Middle temporal,Precuneus,321,37102,899,38001,0.008447146
Middle temporal,Thalamic reticular,16,37407,3695,41102,0.000389275
Middle temporal,Orbitofrontal,280,37143,2716,39859,0.007024762
Middle temporal,Middle frontal,6065,31358,14407,45765,0.132524855
Olfactory bulb,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,11269,6,11275,0
Orbitofrontal,"(""Straight gyrus"" OR ""gyrus rectus"")",0,2996,2,2998,0
Parahippocamp*,Wernicke's area,0,0,40901,40901,0
Paracentral lobule,Posterior parahippocampal gyrus,2,65,487,552,0.003623188
Paracentral lobule,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",1,66,142,208,0.004807692
Pineal,Substantia nigra,58,14345,19331,33676,0.001722295
Perirhinal,(Periventricular AND (nuclei OR nucleus)),4,1196,1070,2266,0.001765225
periaqueductal,Thalamus,555,4021,31985,36006,0.015414098
"(""Posterior nucleus"" AND hypothalamus)",Superior frontal,23,2717,4932,7649,0.003006929
Posterior parietal,Precuneus,350,5364,870,6234,0.056143728
"(""Straight gyrus"" OR ""gyrus rectus"")",Subthalam*,0,2,0,2,0
Posterior parietal,Visual cortex,1590,4124,37663,41787,0.038050111
Perirhinal,Ventromedial prefrontal,18,1182,746,1928,0.0093361
Subgranular,"(""Ventral posterior"" AND (nuclei OR nucleus))",0,632,1478,2110,0
Postcentral gyrus,"(""Superior olive"" OR ""superior olivary"")",0,624,514,1138,0
Striatum,Wernicke's area,465,44283,40436,84719,0.005488733
Substantia nigra,Visual cortex,189,19200,39064,58264,0.003243856
