Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Hippocamp*,"(""Heschl's gyrus"" OR ""Transverse temporal"")",0,184,6,190,0
Lingual gyrus,"(""Straight gyrus"" OR ""gyrus rectus"")",0,433,2,435,0
Inferior frontal,(Raphe AND (nuclei OR nucleus)),11,5111,4374,9485,0.001159726
"(""Medial dorsal"" AND nucl*)",(Periventricular AND (nuclei OR nucleus)),0,1,1074,1075,0
"(""Medial dorsal"" AND nucl*)",Pons,0,1,17553,17554,0
Medial frontal,"(""Ventral anterior"" AND (nuclei OR nucleus))",97,5781,1361,7142,0.01358163
Lateral geniculate,"(""Superior olive"" OR ""superior olivary"")",46,5789,468,6257,0.007351766
Lingual gyrus,"(""Mammillary body"" OR ""Mammillary bodies)",0,433,0,433,0
"(""Mammillary body"" OR ""Mammillary bodies)",Primary auditory,0,0,5386,5386,0
Olfactory bulb,Wernicke's area,145,11124,40756,51880,0.002794911
Primary auditory,Superior frontal,90,5296,4865,10161,0.008857396
Perirhinal,Subiculum,102,1098,1778,2876,0.035465925
Primary auditory,(Superior AND collicul*),485,4901,171842,176743,0.002744097
Pineal,"(""Posterior nucleus"" AND hypothalamus)",46,14357,2694,17051,0.002697789
Pons,Superior frontal,104,17449,4851,22300,0.004663677
Pontine nuclei,Postcentral gyrus,1,7707,623,8330,0.000120048
Primary motor,Supplementary motor,985,13754,1789,15543,0.063372579
Pontine nuclei,(Superior AND collicul*),1242,6466,171085,177551,0.006995173
Prefrontal,Visual cortex,3183,20918,36070,56988,0.055853864
Temporoparietal,Visual cortex,141,1319,39112,40431,0.003487423
Prefrontal,Putamen,743,23358,10006,33364,0.022269512
Precuneus,"(""Ventral posterior"" AND (nuclei OR nucleus))",0,1220,1478,2698,0
Striatum,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",10,44738,133,44871,0.000222861
Perirhinal,(Raphe AND (nuclei OR nucleus)),32,1168,4353,5521,0.005796051
Subthalam*,Substantia nigra,0,0,19389,19389,0
Thalamic reticular,"(""Ventral anterior"" AND (nuclei OR nucleus))",217,3494,1241,4735,0.045828933
"(""Ventral posterolateral"" AND (nuclei OR nucleus))","(""Ventral posterior"" AND (nuclei OR nucleus))",56,87,1422,1509,0.037110669
Caudate,Subthalam*,0,18801,0,18801,0
Ambiguus,Infralimbic,4,1212,492,1704,0.002347418
Angular gyrus,Medial frontal,61,580,5817,6397,0.00953572
Cingulum,Primary auditory,2,683,5384,6067,0.000329652
Cingulum,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,685,143,828,0
Anterior cingulate,Primary motor,274,6499,14465,20964,0.013070025
Cingulum,Paracentral lobule,1,684,66,750,0.001333333
Dorsolateral prefrontal,Paracentral lobule,3,3609,64,3673,0.000816771
Calcarine fissure,"(""Superior olive"" OR ""superior olivary"")",0,120,514,634,0
Broca's area,"(Medulla OR ""medulla oblongata"")",383,52040,22182,74222,0.005160195
Broca's area,Diagonal band of Broca,115,52308,793,53101,0.002165684
Cingulate,Olfactory bulb,125,10979,11144,22123,0.005650228
Cerebellum,Posterior parahippocampal gyrus,38,56845,451,57296,0.000663223
Globus pallidus,periaqueductal,81,8025,4495,12520,0.006469649
(Cochlear AND (nuclei OR nucleus)),Middle temporal,81,4346,37342,41688,0.001943005
(Cochlear AND (nuclei OR nucleus)),Olfactory bulb,52,4375,11217,15592,0.003335044
Diagonal band of Broca,"(""Gustatory cortex"" OR ""gustatory area"")",1,907,68,975,0.001025641
Dentate gyrus,Globus pallidus,190,11767,7916,19683,0.009653
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Red nucleus"")",0,6,4498,4504,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Premotor,0,6,4729,4735,0
"(""Gustatory cortex"" OR ""gustatory area"")","(""Straight gyrus"" OR ""gyrus rectus"")",0,69,2,71,0
Hippocamp*,(Superior AND collicul*),1,183,172326,172509,5.80E-06
(Inferior AND collicul*),Lingual gyrus,177,81156,256,81412,0.002174127
(Cochlear AND (nuclei OR nucleus)),"(""Ventral posterolateral"" AND (nuclei OR nucleus))",1,4426,142,4568,0.000218914
Insula*,Orbitofrontal,370,2740,2626,5366,0.068952665
Inferior parietal lobule,Ventral tegmentum,1,915,4825,5740,0.000174216
Insula*,Primary motor,183,2927,14556,17483,0.010467311
(Intralaminar AND (nuclei OR nucleus)),Precuneus,1,775,1219,1994,0.000501505
Inferior frontal,Visual extrastriate,71,5051,1463,6514,0.010899601
Lingual gyrus,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,433,143,576,0
Medial geniculate,Operculum,1,1861,925,2786,0.000358938
Infralimbic,Pontine nuclei,29,467,7679,8146,0.003560029
"(""Mammillary body"" OR ""Mammillary bodies)",Medial frontal,0,0,5868,5868,0
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Subiculum,0,6,1880,1886,0
"(Medulla OR ""medulla oblongata"")",Orbitofrontal,3,22562,2993,25555,0.000117394
"(""Locus coeruleus"" OR ""locus ceruleus"")",Perirhinal,10,3298,1190,4488,0.002228164
Pons,Striatum,952,16601,43796,60397,0.015762372
Primary sensory,(Superior AND collicul*),425,11181,171902,183083,0.002321352
periaqueductal,Zona incerta,123,4453,2797,7250,0.016965517
(Periventricular AND (nuclei OR nucleus)),Visual cortex,7,1067,39246,40313,0.000173641
"(""Straight gyrus"" OR ""gyrus rectus"")","(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,2,143,145,0
Precuneus,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,1220,143,1363,0
Subiculum,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",8,1872,135,2007,0.003986049
Caudate,periaqueductal,176,18625,4400,23025,0.007643865
Superior temporal,Temporoparietal,109,8852,1351,10203,0.010683132
Anterior cingulate,Substantia nigra,129,6644,19260,25904,0.004979926
Amygdala,Temporoparietal,31,23326,1429,24755,0.001252272
Amygdala,"(""Ventral posterior"" AND (nuclei OR nucleus))",226,23131,1252,24383,0.009268753
Infralimbic,Striatum,47,449,44701,45150,0.001040975
Calcarine fissure,Operculum,5,115,921,1036,0.004826255
Calcarine fissure,Nucleus basalis,0,120,2330,2450,0
(Cochlear AND (nuclei OR nucleus)),Nucleus accumbens,21,4406,12786,17192,0.001221498
Diagonal band of Broca,Medial frontal,82,826,5796,6622,0.012382966
"(""Inferior olive"" OR ""Inferior olivary"")",Ventromedial prefrontal,0,834,764,1598,0
Inferior parietal lobule,"(""Inferior olive"" OR ""Inferior olivary"")",1,915,833,1748,0.000572082
Indusium griseum,Prefrontal,3,74,24098,24172,0.000124111
Inferior parietal lobule,Pulvinar,26,890,1107,1997,0.013019529
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Posterior nucleus"" AND hypothalamus)",0,6,2740,2746,0
"(""Inferior olive"" OR ""Inferior olivary"")",Nucleus basalis,3,831,2327,3158,0.000949968
Interstitial nucleus,Visual cortex,17,2022,39236,41258,0.000412041
"(""Inferior olive"" OR ""Inferior olivary"")",Pontine nuclei,155,679,7553,8232,0.01882896
"(""Medial dorsal"" AND nucl*)",Nucleus basalis,1,0,2329,2329,0.000429369
Medial frontal,"(""Straight gyrus"" OR ""gyrus rectus"")",0,5878,2,5880,0
Lateral geniculate,Primary auditory,105,5730,5281,11011,0.009535919
Middle frontal,Orbitofrontal,442,20030,2554,22584,0.019571378
Medial geniculate,"(""Straight gyrus"" OR ""gyrus rectus"")",0,1862,2,1864,0
"(""Mammillary body"" OR ""Mammillary bodies)",Supplementary motor,0,0,2773,2773,0
Orbitofrontal,Superior frontal,206,2790,4749,7539,0.027324579
Olfactory bulb,(Septal AND (nuclei OR nucleus)),146,11123,2267,13390,0.010903659
Paracentral lobule,(Periventricular AND (nuclei OR nucleus)),0,67,1074,1141,0
Nucleus basalis,"(""Straight gyrus"" OR ""gyrus rectus"")",0,2330,2,2332,0
periaqueductal,Putamen,147,4429,10602,15031,0.009779788
Pineal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,14403,143,14546,0
Primary motor,"(""Straight gyrus"" OR ""gyrus rectus"")",0,14739,2,14741,0
Subgranular,Thalamic reticular,2,630,3709,4339,0.000460936
Postcentral gyrus,Superior temporal,118,506,8843,9349,0.012621671
Entorhinal,Primary sensory,46,5501,11560,17061,0.002696208
Anterior cingulate,Postcentral gyrus,79,6694,545,7239,0.01091311
Claustrum,Entorhinal,63,792,5484,6276,0.010038241
Claustrum,Globus pallidus,78,777,8028,8805,0.008858603
Claustrum,"(""Gustatory cortex"" OR ""gustatory area"")",1,854,68,922,0.001084599
Claustrum,"(""Ventral anterior"" AND (nuclei OR nucleus))",61,794,1397,2191,0.027841168
Claustrum,Subiculum,46,809,1834,2643,0.017404465
Dorsolateral prefrontal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,3612,143,3755,0
Caudate,"(Medulla OR ""medulla oblongata"")",279,18522,22286,40808,0.006836895
Caudate,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",10,18791,133,18924,0.00052843
Caudate,Pineal,78,18723,14325,33048,0.002360203
Cerebellum,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,56883,6,56889,0
Cingulate,Premotor,562,10542,4167,14709,0.0382079
"(""Centromedian"" AND (nuclei OR nucleus))",Orbitofrontal,2,141,2994,3135,0.000637959
Cingulate,Middle frontal,1509,9595,18963,28558,0.052839835
Cingulate,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,11104,8,11112,0
"(""Gustatory cortex"" OR ""gustatory area"")",Stria terminalis,7,62,2728,2790,0.002508961
Dentate gyrus,Visual cortex,102,11855,39151,51006,0.001999765
Hippocamp*,Suprachiasmatic,0,184,6026,6210,0
"(""Inferior olive"" OR ""Inferior olivary"")",Suprachiasmatic,6,828,6020,6848,0.000876168
Indusium griseum,"(""Locus coeruleus"" OR ""locus ceruleus"")",0,77,3308,3385,0
"(""Inferior olive"" OR ""Inferior olivary"")",Thalamic reticular,26,808,3685,4493,0.005786779
Insula*,Putamen,238,2872,10511,13383,0.017783756
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Piriform cortex,0,6,2070,2076,0
Inferior frontal,Paracentral lobule,16,5106,51,5157,0.003102579
Inferior temporal,"(Medulla OR ""medulla oblongata"")",76,6539,22489,29028,0.002618162
Interstitial nucleus,Wernicke's area,8,2031,40893,42924,0.000186376
Lingual gyrus,Subiculum,0,433,1880,2313,0
Lingual gyrus,Visual extrastriate,18,415,1516,1931,0.009321595
Medial frontal,"(""Medial dorsal"" AND nucl*)",1,5877,0,5877,0.000170155
Lateral geniculate,"(""Locus coeruleus"" OR ""locus ceruleus"")",47,5788,3261,9049,0.005193944
Nucleus accumbens,Pulvinar,4,12803,1129,13932,0.000287109
"(""Mammillary body"" OR ""Mammillary bodies)",Primary sensory,0,0,11605,11605,0
periaqueductal,Piriform cortex,41,4535,2029,6564,0.006246191
Parahippocamp*,Primary auditory,0,0,5386,5386,0
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",(Raphe AND (nuclei OR nucleus)),0,8,4385,4393,0
Posterior cingulate,Premotor,207,2718,4522,7240,0.02859116
Perirhinal,Primary sensory,23,1177,11583,12760,0.001802508
Orbitofrontal,Primary sensory,68,2928,11538,14466,0.004700677
(Periventricular AND (nuclei OR nucleus)),(Septal AND (nuclei OR nucleus)),150,924,2263,3187,0.047066206
Pons,Supplementary motor,24,17529,2750,20279,0.00118349
(Periventricular AND (nuclei OR nucleus)),Ventral tegmentum,58,1016,4768,5784,0.010027663
Primary sensory,Thalamic reticular,75,11531,3636,15167,0.004944946
Primary auditory,Subiculum,5,5381,1875,7256,0.000689085
Posterior parietal,Superior frontal,618,5096,4337,9433,0.065514682
"(""Straight gyrus"" OR ""gyrus rectus"")",Visual cortex,0,2,39253,39255,0
Pons,Posterior parietal,78,17475,5636,23111,0.003375016
Prefrontal,Subiculum,108,23993,1772,25765,0.004191733
Superior frontal,Subthalam*,0,4955,0,4955,0
Calcarine fissure,"(""Straight gyrus"" OR ""gyrus rectus"")",0,120,2,122,0
Amygdala,Visual cortex,874,22483,38379,60862,0.014360356
Anterior cingulate,Entorhinal,173,6600,5374,11974,0.014447971
Angular gyrus,"(""Ventral posterior"" AND (nuclei OR nucleus))",0,641,1478,2119,0
Amygdala,"(""Gustatory cortex"" OR ""gustatory area"")",23,23334,46,23380,0.000983747
Anterior cingulate,Supplementary motor,384,6389,2390,8779,0.043740745
Claustrum,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,855,8,863,0
Claustrum,Subthalam*,0,855,0,855,0
Dorsolateral prefrontal,"(""Superior olive"" OR ""superior olivary"")",0,3612,514,4126,0
Entorhinal,"(""Straight gyrus"" OR ""gyrus rectus"")",0,5547,2,5549,0
Basal forbrain,Interstitial nucleus,37,1,2039,2040,0.018137255
Broca's area,Pontine nuclei,270,52153,7438,59591,0.004530886
Broca's area,(Cochlear AND (nuclei OR nucleus)),7,52416,4420,56836,0.000123161
Cerebellum,Thalamic reticular,384,56499,3327,59826,0.006418614
Cingulate,Substantia nigra,293,10811,19096,29907,0.009797037
Cingulate,Temporoparietal,118,10986,1342,12328,0.009571707
Globus pallidus,Thalamus,1762,6344,30778,37122,0.047465115
Dentate gyrus,"(""Inferior olive"" OR ""Inferior olivary"")",14,11943,820,12763,0.001096921
Dentate gyrus,Fusiform,31,11926,5424,17350,0.001786744
Dentate gyrus,Perirhinal,120,11837,1080,12917,0.009290083
Hippocamp*,Nucleus basalis,0,184,2330,2514,0
Hippocamp*,Thalamus,19,165,32521,32686,0.000581289
Hypothalam*,Suprachiasmatic,0,3,6026,6029,0
Insula*,Thalamus,617,2493,31923,34416,0.017927708
(Inferior AND collicul*),Suprachiasmatic,62,81271,5964,87235,0.000710724
Insula*,Premotor,240,2870,4489,7359,0.032613127
Interstitial nucleus,"(""Superior olive"" OR ""superior olivary"")",10,2029,504,2533,0.003947888
Inferior temporal,Pontine nuclei,65,6550,7643,14193,0.004579722
"(""Medial dorsal"" AND nucl*)","(""Nucleus gracilis"" OR ""gracile nucleus"")",0,1,6,7,0
"(""Mammillary body"" OR ""Mammillary bodies)","(""Straight gyrus"" OR ""gyrus rectus"")",0,0,2,2,0
Olfactory bulb,Putamen,297,10972,10452,21424,0.013862957
Olfactory bulb,Piriform cortex,489,10780,1581,12361,0.039559906
"(""Medial dorsal"" AND nucl*)","(Medulla OR ""medulla oblongata"")",0,1,22565,22566,0
"(""Locus coeruleus"" OR ""locus ceruleus"")",Posterior cingulate,17,3291,2908,6199,0.002742378
"(""Mammillary body"" OR ""Mammillary bodies)",Paracentral lobule,0,0,67,67,0
Paracentral lobule,"(""Ventral anterior"" AND (nuclei OR nucleus))",0,67,1458,1525,0
Piriform cortex,Premotor,7,2063,4722,6785,0.001031688
Nucleus basalis,Postcentral gyrus,1,2329,623,2952,0.000338753
"(""Posterior nucleus"" AND hypothalamus)",Precuneus,1,2739,1219,3958,0.000252653
(Periventricular AND (nuclei OR nucleus)),Subgranular,0,1074,632,1706,0
Primary auditory,(Septal AND (nuclei OR nucleus)),3,5383,2410,7793,0.000384961
Subiculum,Substantia nigra,113,1767,19276,21043,0.005369957
(Septal AND (nuclei OR nucleus)),Thalamus,257,2156,32283,34439,0.00746247
"(""Superior olive"" OR ""superior olivary"")",Zona incerta,4,510,2916,3426,0.001167542
Calcarine fissure,Middle temporal,9,111,37414,37525,0.00023984
"(""Centromedian"" AND (nuclei OR nucleus))",Primary motor,7,136,14732,14868,0.00047081
Ambiguus,"(Medulla OR ""medulla oblongata"")",563,653,22002,22655,0.024851026
Ambiguus,Visual cortex,2,1214,39251,40465,4.94E-05
Anterior cingulate,Parahippocamp*,0,6773,0,6773,0
Amygdala,Olfactory bulb,916,22441,10353,32794,0.027931939
Anterior cingulate,Ventral tegmentum,53,6720,4773,11493,0.004611503
(Cochlear AND (nuclei OR nucleus)),Dorsolateral prefrontal,0,4427,3612,8039,0
(Cochlear AND (nuclei OR nucleus)),Infralimbic,0,4427,496,4923,0
Dorsolateral prefrontal,Putamen,163,3449,10586,14035,0.011613823
Caudate,Hippocamp*,8,18793,176,18969,0.000421741
"(""Centromedian"" AND (nuclei OR nucleus))",Temporoparietal,0,143,1460,1603,0
"(""Gustatory cortex"" OR ""gustatory area"")",Lateral geniculate,2,67,5833,5900,0.000338983
Dentate gyrus,(Periventricular AND (nuclei OR nucleus)),20,11937,1054,12991,0.001539527
Dentate gyrus,(Intralaminar AND (nuclei OR nucleus)),19,11938,757,12695,0.001496652
Hypothalam*,Striatum,0,3,44748,44751,0
Hypothalam*,Ventral tegmentum,0,3,4826,4829,0
Insula*,Medial geniculate,9,3101,1853,4954,0.001816714
Insula*,Lingual gyrus,67,3043,366,3409,0.019653857
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Paracentral lobule,0,6,67,73,0
Interstitial nucleus,Middle frontal,3,2036,20469,22505,0.000133304
Inferior frontal,"(""Locus coeruleus"" OR ""locus ceruleus"")",6,5116,3302,8418,0.000712758
Inferior frontal,Supplementary motor,238,4884,2536,7420,0.032075472
Inferior temporal,Striatum,91,6524,44657,51181,0.001778004
Medial frontal,Nucleus accumbens,284,5594,12523,18117,0.015675885
Lateral geniculate,Prefrontal,36,5799,24065,29864,0.001205465
Infralimbic,Parahippocamp*,0,496,0,496,0
Paracentral lobule,"(""Red nucleus"")",0,67,4498,4565,0
Olfactory bulb,Striatum,962,10307,43786,54093,0.017784186
Olfactory bulb,Posterior parietal,8,11261,5706,16967,0.000471504
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",periaqueductal,0,8,4576,4584,0
Subgranular,"(""Superior olive"" OR ""superior olivary"")",0,632,514,1146,0
Suprachiasmatic,Ventral tegmentum,35,5991,4791,10782,0.003246151
Visual extrastriate,Zona incerta,2,1532,2918,4450,0.000449438
Prefrontal,"(""Ventral posterior"" AND (nuclei OR nucleus))",75,24026,1403,25429,0.002949388
Subthalam*,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,0,143,143,0
"(""Superior olive"" OR ""superior olivary"")",Ventral tegmentum,11,503,4815,5318,0.002068447
Angular gyrus,Inferior parietal lobule,56,585,860,1445,0.038754325
Cingulum,Ventromedial prefrontal,4,681,760,1441,0.00277585
Claustrum,Orbitofrontal,18,837,2978,3815,0.004718218
(Cochlear AND (nuclei OR nucleus)),"(""Heschl's gyrus"" OR ""Transverse temporal"")",0,4427,6,4433,0
(Dorsomedial AND hypothal*),Inferior frontal,0,0,5122,5122,0
Entorhinal,Lingual gyrus,2,5545,431,5976,0.000334672
(Dorsomedial AND hypothal*),periaqueductal,0,0,4576,4576,0
Basal forbrain,Ventral tegmentum,404,1,4826,4827,0.083695877
Broca's area,Piriform cortex,110,52313,1960,54273,0.00202679
Calcarine fissure,Thalamic reticular,0,120,3711,3831,0
Basal forbrain,Paracentral lobule,1,1,67,68,0.014705882
"(""Centromedian"" AND (nuclei OR nucleus))",Stria terminalis,3,140,2732,2872,0.001044568
Cerebellum,Nucleus accumbens,419,56464,12388,68852,0.006085517
Dorsolateral prefrontal,Globus pallidus,45,3567,8061,11628,0.003869969
Diagonal band of Broca,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,908,6,914,0
Hippocamp*,Paracentral lobule,0,184,67,251,0
Inferior parietal lobule,"(""Red nucleus"")",3,913,4495,5408,0.000554734
Inferior parietal lobule,Lateral geniculate,4,912,5831,6743,0.000593208
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Insula*,0,6,3110,3116,0
"(""Gustatory cortex"" OR ""gustatory area"")","(Medulla OR ""medulla oblongata"")",4,65,22561,22626,0.000176788
Insula*,(Raphe AND (nuclei OR nucleus)),12,3098,4373,7471,0.001606211
Lingual gyrus,Putamen,24,409,10725,11134,0.00215556
"(""Locus coeruleus"" OR ""locus ceruleus"")","(""Nucleus gracilis"" OR ""gracile nucleus"")",0,3308,6,3314,0
Medial frontal,Subthalam*,0,5878,0,5878,0
Middle frontal,Olfactory bulb,36,20436,11233,31669,0.001136758
Lateral geniculate,"(""Nucleus gracilis"" OR ""gracile nucleus"")",1,5834,5,5839,0.000171262
"(""Mammillary body"" OR ""Mammillary bodies)",Thalamus,0,41,32463,32504,0
periaqueductal,"(""Posterior nucleus"" AND hypothalamus)",144,4432,2596,7028,0.020489471
Piriform cortex,"(""Ventral anterior"" AND (nuclei OR nucleus))",63,2007,1395,3402,0.018518519
Posterior cingulate,Prefrontal,984,1941,23117,25058,0.039268896
Operculum,"(""Red nucleus"")",1,925,4497,5422,0.000184434
Posterior cingulate,Visual extrastriate,25,2900,1509,4409,0.00567022
Precuneus,Primary sensory,26,1194,11580,12774,0.002035384
Postcentral gyrus,Striatum,12,612,44736,45348,0.00026462
Temporoparietal,Visual extrastriate,8,1452,1526,2978,0.002686367
Temporoparietal,"(""Ventral posterior"" AND (nuclei OR nucleus))",0,1460,1478,2938,0
"(""Ventral posterolateral"" AND (nuclei OR nucleus))","(""Ventral posteromedial"" AND (nuclei OR nucleus))",35,108,108,216,0.162037037
Broca's area,Cingulum,91,52332,594,52926,0.001719382
Basal forbrain,Inferior parietal lobule,23,1,916,917,0.025081788
Ambiguus,(Dorsomedial AND hypothal*),0,1216,0,1216,0
Ambiguus,Visual extrastriate,0,1216,1534,2750,0
Anterior cingulate,Subgranular,0,6773,632,7405,0
Infralimbic,"(""Red nucleus"")",2,494,4496,4990,0.000400802
Dorsolateral prefrontal,Suprachiasmatic,1,3611,6025,9636,0.000103778
Basal forbrain,Superior temporal,225,1,8961,8962,0.025106003
Caudate,Interstitial nucleus,46,18755,1993,20748,0.002217081
"(""Centromedian"" AND (nuclei OR nucleus))",Pineal,0,143,14403,14546,0
"(""Centromedian"" AND (nuclei OR nucleus))","(""Nucleus gracilis"" OR ""gracile nucleus"")",0,143,6,149,0
"(""Centromedian"" AND (nuclei OR nucleus))",Thalamic reticular,32,111,3679,3790,0.008443272
Cerebellum,Inferior temporal,484,56399,6131,62530,0.007740285
Diagonal band of Broca,Wernicke's area,19,889,40882,41771,0.000454861
Globus pallidus,Pulvinar,19,8087,1114,9201,0.002064993
Globus pallidus,Subgranular,1,8105,631,8736,0.000114469
Indusium griseum,Operculum,0,77,926,1003,0
"(""Inferior olive"" OR ""Inferior olivary"")",Parahippocamp*,0,834,0,834,0
Inferior frontal,Posterior parahippocampal gyrus,61,5061,428,5489,0.011113135
"(""Medial dorsal"" AND nucl*)",(Superior AND collicul*),1,0,172326,172326,5.80E-06
Inferior temporal,Precuneus,235,6380,985,7365,0.031907671
Medial frontal,Superior temporal,581,5297,8380,13677,0.042480076
Nucleus accumbens,Primary auditory,8,12799,5378,18177,0.000440117
Orbitofrontal,Supplementary motor,61,2935,2713,5648,0.010800283
Orbitofrontal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,2996,143,3139,0
"(""Locus coeruleus"" OR ""locus ceruleus"")","(""Ventral posteromedial"" AND (nuclei OR nucleus))",3,3305,140,3445,0.000870827
Pineal,Putamen,43,14360,10706,25066,0.001715471
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Primary auditory,0,8,5386,5394,0
Pineal,Visual extrastriate,0,14403,1534,15937,0
Piriform cortex,Temporoparietal,1,2069,1459,3528,0.000283447
"(""Posterior nucleus"" AND hypothalamus)",Thalamus,470,2270,32070,34340,0.013686663
(Septal AND (nuclei OR nucleus)),"(""Ventral anterior"" AND (nuclei OR nucleus))",198,2215,1260,3475,0.056978417
Perirhinal,"(""Ventral anterior"" AND (nuclei OR nucleus))",47,1153,1411,2564,0.018330733
Pulvinar,Stria terminalis,8,1125,2727,3852,0.002076843
Thalamus,Ventral tegmentum,437,32103,4389,36492,0.011975227
Subiculum,Ventromedial prefrontal,18,1862,746,2608,0.00690184
(Raphe AND (nuclei OR nucleus)),(Septal AND (nuclei OR nucleus)),227,4158,2186,6344,0.035781841
Prefrontal,Suprachiasmatic,29,24072,5997,30069,0.000964448
Superior frontal,Temporoparietal,69,4886,1391,6277,0.010992512
Caudate,Middle temporal,462,18339,36961,55300,0.00835443
Broca's area,Prefrontal,14011,38412,10090,48502,0.288874686
Caudate,"(""Superior olive"" OR ""superior olivary"")",8,18793,506,19299,0.000414529
Angular gyrus,Pons,4,637,17549,18186,0.000219949
Cingulum,Dorsolateral prefrontal,18,667,3594,4261,0.00422436
Amygdala,Superior temporal,420,22937,8541,31478,0.013342652
Cingulum,"(""Straight gyrus"" OR ""gyrus rectus"")",0,685,2,687,0
Claustrum,"(""Locus coeruleus"" OR ""locus ceruleus"")",22,833,3286,4119,0.005341102
Entorhinal,Pons,46,5501,17507,23008,0.001999305
Entorhinal,Posterior parietal,87,5460,5627,11087,0.007847028
Basal forbrain,Stria terminalis,323,1,2735,2736,0.118055556
Calcarine fissure,(Cochlear AND (nuclei OR nucleus)),0,120,4427,4547,0
Caudate,(Cochlear AND (nuclei OR nucleus)),42,18759,4385,23144,0.001814725
Cerebellum,Medial geniculate,103,56780,1759,58539,0.001759511
"(""Centromedian"" AND (nuclei OR nucleus))",Subiculum,2,141,1878,2019,0.000990589
Cingulate,Interstitial nucleus,12,11092,2027,13119,0.000914704
Globus pallidus,Nucleus accumbens,649,7457,12158,19615,0.033086923
(Cochlear AND (nuclei OR nucleus)),"(""Locus coeruleus"" OR ""locus ceruleus"")",23,4404,3285,7689,0.002991286
Globus pallidus,Subthalam*,0,8106,0,8106,0
Globus pallidus,"(""Posterior nucleus"" AND hypothalamus)",89,8017,2651,10668,0.008342707
(Cochlear AND (nuclei OR nucleus)),Precuneus,0,4427,1220,5647,0
Dentate gyrus,Middle temporal,213,11744,37210,48954,0.004351023
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Visual extrastriate,0,6,1534,1540,0
Hypothalam*,Putamen,0,3,10749,10752,0
Indusium griseum,Perirhinal,0,77,1200,1277,0
Indusium griseum,Primary sensory,1,76,11605,11681,8.56E-05
Indusium griseum,Stria terminalis,4,73,2731,2804,0.001426534
Inferior temporal,(Intralaminar AND (nuclei OR nucleus)),13,6602,763,7365,0.001765105
Lateral geniculate,"(""Straight gyrus"" OR ""gyrus rectus"")",0,5835,2,5837,0
Middle frontal,(Septal AND (nuclei OR nucleus)),11,20461,2402,22863,0.000481127
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Pontine nuclei,0,6,7708,7714,0
Lateral geniculate,Posterior cingulate,32,5803,2893,8696,0.003679853
Olfactory bulb,(Periventricular AND (nuclei OR nucleus)),58,11211,1016,12227,0.0047436
Nucleus accumbens,(Superior AND collicul*),268,12539,172059,184598,0.001451803
"(""Posterior nucleus"" AND hypothalamus)","(""Ventral posteromedial"" AND (nuclei OR nucleus))",13,2727,130,2857,0.004550228
Nucleus basalis,Suprachiasmatic,19,2311,6007,8318,0.002284203
Piriform cortex,Subiculum,73,1997,1807,3804,0.019190326
"(""Red nucleus"")","(""Ventral anterior"" AND (nuclei OR nucleus))",55,4443,1403,5846,0.009408142
Primary motor,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",9,14730,134,14864,0.00060549
Stria terminalis,Subiculum,86,2649,1794,4443,0.019356291
Premotor,Superior frontal,307,4422,4648,9070,0.03384785
Putamen,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",7,10742,136,10878,0.000643501
"(""Superior olive"" OR ""superior olivary"")",Supplementary motor,1,513,2773,3286,0.000304321
(Raphe AND (nuclei OR nucleus)),"(""Ventral posterolateral"" AND (nuclei OR nucleus))",12,4373,131,4504,0.002664298
Calcarine fissure,Subgranular,0,120,632,752,0
"(""Ventral posterolateral"" AND (nuclei OR nucleus))",Visual extrastriate,1,142,1533,1675,0.000597015
Calcarine fissure,Subiculum,1,119,1879,1998,0.000500501
